id,category,title,simpsons_episode,season,episode,start,end,notes
IS001,itchy_scratchy,Untitled (dynamite pin-up),The Bart Simpson Show,shorts,,,,Tracey Ullman short
IS002,itchy_scratchy,Untitled (Christmas special),Simpson Christmas,shorts,,,,Tracey Ullman short; non-violent
IS003,itchy_scratchy,Untitled (mouse hole bomb),There's No Disgrace Like Home,1,4,,,first appearance in the series proper
IS004,itchy_scratchy,Burning Love,Krusty Gets Busted,1,12,,,
IS005,itchy_scratchy,Let Them Eat Scratchy,"Bart Gets an ""F""",2,1,,,
IS006,itchy_scratchy,Sundae Bloody Sundae,"Oh Brother, Where Art Thou?",2,15,,,
IS007,itchy_scratchy,Field of Screams,Itchy & Scratchy & Marge,2,9,,,
IS008,itchy_scratchy,Hold That Feline,Itchy & Scratchy & Marge,2,9,,,
IS009,itchy_scratchy,Itchy & Scratchy on Ice,Itchy & Scratchy & Marge,2,9,,,
IS010,itchy_scratchy,Kitchen Kut-Ups,Itchy & Scratchy & Marge,2,9,,,
IS011,itchy_scratchy,Messenger of Death,Itchy & Scratchy & Marge,2,9,,,
IS012,itchy_scratchy,Porch Pals,Itchy & Scratchy & Marge,2,9,,,sanitised lemonade version
IS013,itchy_scratchy,Untitled (bombs for eyes),Itchy & Scratchy & Marge,2,9,,,
IS014,itchy_scratchy,Untitled (rigged grave),Itchy & Scratchy & Marge,2,9,,,
IS015,itchy_scratchy,Untitled (bigger guns / into the sun),Itchy & Scratchy & Marge,2,9,,,
IS016,itchy_scratchy,Untitled (dance),Itchy & Scratchy & Marge,2,9,,,sanitised era
IS017,itchy_scratchy,Untitled (bedtime story),Itchy & Scratchy & Marge,2,9,,,sanitised era
IS018,itchy_scratchy,Bang the Cat Slowly,Stark Raving Dad,3,1,,,
IS019,itchy_scratchy,Cat Splat Fever,Radio Bart,3,13,,,
IS020,itchy_scratchy,Field of Screams,"Like Father, Like Clown",3,6,,,different short from IS007
IS021,itchy_scratchy,House of Pain (This Old Mouse),Burns Verkaufen der Kraftwerk,3,11,,,
IS022,itchy_scratchy,I'm Getting Buried in the Morning,Bart's Friend Falls in Love,3,23,,,
IS023,itchy_scratchy,My Dinner with Itchy,Homer Defined,3,5,,,
IS024,itchy_scratchy,O Solo Meow,When Flanders Failed,3,3,,,
IS025,itchy_scratchy,Untitled (Scratchy on fire),When Flanders Failed,3,3,,,
IS026,itchy_scratchy,The Sounds of Silencers,Bart the Murderer,3,4,,,
IS027,itchy_scratchy,100 Yard Gash,Lisa's First Word,4,10,,,
IS028,itchy_scratchy,Dazed and Contused,The Front,4,19,,,
IS029,itchy_scratchy,Little Barbershop of Horrors,The Front,4,19,,,Bart & Lisa's script
IS030,itchy_scratchy,Screams from a Mall,The Front,4,19,,,
IS031,itchy_scratchy,Flay Me to the Moon,Homer the Heretic,4,3,,,
IS032,itchy_scratchy,Germs of Endearment,Marge in Chains,4,21,,,
IS033,itchy_scratchy,Kitty-Kitty Bang-Bang,Brother from the Same Planet,4,14,,,
IS034,itchy_scratchy,My Bloody Valentine,I Love Lisa,4,15,,,
IS035,itchy_scratchy,Steamboat Itchy,Itchy & Scratchy: The Movie,4,6,,,1928 Steamboat Willie parody
IS036,itchy_scratchy,That Happy Cat,Itchy & Scratchy: The Movie,4,6,,,Scratchy solo short
IS037,itchy_scratchy,Untitled (WWII propaganda),Itchy & Scratchy: The Movie,4,6,,,shown within Eye on Springfield
IS038,itchy_scratchy,Untitled (Oliver Stone / Ruby-Oswald),Whacking Day,4,20,,,
IS039,itchy_scratchy,Aaahhh! Wilderness!,Boy-Scoutz 'n the Hood,5,8,,,
IS040,itchy_scratchy,The Buck Chops Here,Burns' Heir,5,18,,,
IS041,itchy_scratchy,Burning Down the Mouse,Homer Goes to College,5,3,,,
IS042,itchy_scratchy,Scar Trek: The Next Laceration,Deep Space Homer,5,15,,,
IS043,itchy_scratchy,Spay Anything,Cape Feare,5,2,,,
IS044,itchy_scratchy,Four Funerals and a Wedding,A Star Is Burns,6,18,,,
IS045,itchy_scratchy,The Last Traction Hero,Itchy & Scratchy Land,6,4,,,
IS046,itchy_scratchy,Pinitchio,Itchy & Scratchy Land,6,4,,,
IS047,itchy_scratchy,Scratchtasia,Itchy & Scratchy Land,6,4,,,
IS048,itchy_scratchy,Planet of the Aches,Bart of Darkness,6,1,,,
IS049,itchy_scratchy,Esophagus Now,Lisa the Vegetarian,7,5,,,
IS050,itchy_scratchy,Foster Pussycat! Kill! Kill!,Home Sweet Homediddly-Dum-Doodily,7,3,,,
IS051,itchy_scratchy,Itchy & Scratchy Meet Fritz the Cat,The Day the Violence Died,7,18,,,
IS052,itchy_scratchy,Manhattan Madness,The Day the Violence Died,7,18,,,Chester Lampwick's original
IS053,itchy_scratchy,Remembrance of Things Slashed,The Day the Violence Died,7,18,,,
IS054,itchy_scratchy,Untitled (God squashes Scratchy),The Day the Violence Died,7,18,,,
IS055,itchy_scratchy,Skinless in Seattle,Bart Sells His Soul,7,4,,,
IS056,itchy_scratchy,The Beagle Has Landed,The Itchy & Scratchy & Poochie Show,8,14,,,Poochie debut
IS057,itchy_scratchy,Why Do Fools Fall in Lava?,The Itchy & Scratchy & Poochie Show,8,14,,,
IS058,itchy_scratchy,Untitled (pool balls for eyes),The Itchy & Scratchy & Poochie Show,8,14,,,focus group clip
IS059,itchy_scratchy,Untitled (Poochie's death),The Itchy & Scratchy & Poochie Show,8,14,,,
IS060,itchy_scratchy,Untitled (arrow and acid tank),The Itchy & Scratchy & Poochie Show,8,14,,,
IS061,itchy_scratchy,Deaf Comedy Blam!,In Marge We Trust,8,22,,,
IS062,itchy_scratchy,"Good Cats, Bad Choices",Bart After Dark,8,5,,,
IS063,itchy_scratchy,Reservoir Cats,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,8,13,,,
IS064,itchy_scratchy,The Glass Moan-agerie,Girly Edition,9,21,,,
IS065,itchy_scratchy,Candle in the Wound,Treehouse of Horror IX,10,4,,,
