file,id,episode,category,start,end,dur,method,cutaways,note,holds,cuts,tags
S01E01_S01E01-music-00_music.mp4,S01E01-music-00,S01E01,music,00:02:02.51,00:02:31.31,28.800,music,0,Dashing through the snow,,,music+not_tv
S01E01_S01E01-music-02_music.mp4,S01E01-music-02,S01E01,music,00:13:07.33,00:13:24.17,16.840,music,0,Sleigh bells ring,,,music+not_tv
S01E01_S01E01-music-03_music.mp4,S01E01-music-03,S01E01,music,00:22:06.50,00:23:02.99,56.490,music,0,Rudolph the red-nosed reindeer,,,music+not_tv
S01E03_S01E03-music-00_music.mp4,S01E03-music-00,S01E03,music,00:04:14.66,00:04:30.15,15.490,music,0,They took Bart Simpson to the graveyard,,,music+not_tv
S01E04_S01E04-music-00_music.mp4,S01E04-music-00,S01E04,music,00:06:15.88,00:06:35.10,19.220,music,0,Here we sit enjoying the shade,,,music+not_tv
S01E04_S01E04-music-01_music.mp4,S01E04-music-01,S01E04,music,00:08:17.91,00:08:42.48,24.570,music,0,There was a farmer had a dog,,,music+not_tv
S01E04_S01E04-bumper-00_bumper.mp4,S01E04-bumper-00,S01E04,bumper,00:12:58.726,00:13:34.003,35.277,mask,1,,00:12:58.726-00:13:02.224; 00:13:30.076*-00:13:34.003; 00:13:22.024-00:13:26.875,,bumper
S01E04_S01E04-screen-01_itchy_scratchy.mp4,S01E04-screen-01,S01E04,itchy_scratchy,00:13:47.610,00:13:55.200,7.590,screen_only,0,,,,itchy_scratchy
S01E07_S01E07-screen-00_news.mp4,S01E07-screen-00,S01E07,news,00:16:44.29,00:17:25.243,40.953,screen_only,1,,,,news
S01E07_S01E07-screen-01_screen.mp4,S01E07-screen-01,S01E07,screen,00:20:27.84,00:20:50.59,22.750,screen_only,0,,,,screen
S01E07_S01E07-screen-02_screen.mp4,S01E07-screen-02,S01E07,screen,00:21:26.95,00:21:39.566,12.616,screen_only,0,,,,screen
S01E08_S01E08-screen-01_screen.mp4,S01E08-screen-01,S01E08,screen,00:18:29.000,00:18:49.361,20.361,screen_only,1,,00:18:29.000-00:18:32.861; 00:18:37.957-00:18:42.992; 00:18:49.334*-00:18:49.361,,krusty+screen
S01E12_S01E12-screen-00_itchy_scratchy.mp4,S01E12-screen-00,S01E12,itchy_scratchy,00:02:45.000,00:03:05.460,20.460,screen_only,1,,,,itchy_scratchy
S01E12_S01E12-screen-01_news.mp4,S01E12-screen-01,S01E12,news,00:07:24.80,00:08:07.012,32.543,screen_only,1,,00:07:22.759-00:07:26.57; 00:08:02.969*-00:08:07.012,00:07:28.996-00:07:34.342; 00:07:56.155-00:08:00.478,krusty+news
S01E12_S01E12-screen-02_krusty_kent_brockman.mp4,S01E12-screen-02,S01E12,krusty+kent_brockman,00:08:47.00,00:10:51.811,124.811,screen_only,1,,00:10:48.990*-00:10:51.811,,itchy_scratchy+kent_brockman+krusty
S01E13_S01E13-advert-01_advert.mp4,S01E13-advert-01,S01E13,advert,00:13:17.650,00:13:26.250,8.600,mask,0,,,,advert
S01E13_S01E13-advert-02_advert.mp4,S01E13-advert-02,S01E13,advert,00:14:33.000,00:14:51.100,18.100,mask,1,,00:14:33.000-00:14:36.900; 00:14:42.900-00:14:45.600,,advert
S01E13_S01E13-screen-04_screen.mp4,S01E13-screen-04,S01E13,screen,00:21:16.000,00:21:30.03,14.030,screen_only,0,,00:21:17.800-00:21:20.400; 00:21:30.875*-00:21:35.000,,screen
S02E01_S02E01-screen-00_arcade.mp4,S02E01-screen-00,S02E01,arcade,00:03:36.927,00:03:50.853,13.035,screen_only,1,,00:03:44.484-00:03:46.299,00:03:38.181-00:03:39.072,arcade
